url,title,description
http://www.patech.net/,Index of /,
http://www.boostmotorgroup.com/,Boost Motor Group Inc.,"Boost Motor Group is an information solution provider to the automotive industry. Boost takes up to 35 pictures per vehicle, collects features, condition reports and other information which is fully configurable in our proprietary vehicle management system. Typical uses include web site display, sales tools, automated data exporting to classified services, and in-store displays and window stickers."
http://www.inunison.com/,Site Not Configured | 404 Not Found,
https://www.reimer-reason.ca/,"Professional writing, communication strategy, newsletters, annual reports and graphic design -- Kitchener Waterloo region | Reimer Reason Communications | Kitchener-Waterloo, Ontario",
http://www.compliancesync.com/,ComplianceSync,
http://www.clicksolutions.ca/,Click Computer Solutions - Offline,
http://www.claymoresolutions.com/,"
			Welcome — Coming Soon		",
https://incanaglobal.com/,Incana Global Consulting,
https://www.canfone.com/,Canfone,
http://www.tabla9.com/,Welcome to Tabla9,
http://www.sandnetwork.net/,Home,
http://www.itspgroup.com/,500 - Internal server error.,
http://www.wireden.com/,Site not found · DreamHost,The owner of this domain has not yet uploaded their website.
http://www.cmd4.com/,CMD4,
http://www.thinkqcs.com/,Think QCS,
http://www.ippotech.ca/,Scheduled Maintenance,
http://www.pentego.com/,BAD,
https://www.terraspec.ca/,Terraspec | Expert en gÃ©omatique,
http://www.sda.com/,www.sda.com | 523: Origin is unreachable,
http://www.altusdynamics.com/,DNS resolution error | www.altusdynamics.com | Cloudflare,
http://www.beltonlabs.com/,503 Service Temporarily Unavailable,
http://www.codetechnology.ca/,Code Technology – An IAM Blog,
http://www.teramach.com/,IIS 8.5 Detailed Error - 403.0 - Not allowed,
http://www.breken.com/,Redirect,
https://www.techestore.com/,Welcome!,
https://mint-productions.ca/,:: Mint Productions | We Print Your Vision ::,
http://www.netxperts2000.com/,Netxperts 2000,
http://www.brig.ca/,swf/brig_intro,
http://www.infinitesoftech.com/,Coming Soon,
https://tpnsolutions.com/,403 Forbidden,
http://www.acisconsulting.com/,ACIS Consulting - ,
https://www.virtustructure.com/,404 Not Found,Page Not Found
https://www.t4bi.com/,T4bi,
https://www.bluecaller.com/,BlueCaller Coming Soon,
http://www.renevincent.com/,renevincent.com is coming soon,
https://winsoft.ca/,Winsoft,
http://www.mediasparrow.com/,Under construction - Awesome site in the making!,
https://functionfour.ca/,About,
http://agilepartnership.com/,Agile Partnership,
http://www.gemini-navsoft.com/,Welcome to Gemini NavSoft Technologies,
http://www.jenkai.com/,Website Coming Soon!,
http://www.terrarum.net/,Apache2 Ubuntu Default Page: It works,
http://www.tokenizer.ca/,Web Server's Default Page,
http://www.outmind.com/,Offline - We will be back shortly,
http://www.pbtec.com/,PBTEC inc.,PBTEC est une firme de services-conseils en technologie de l'information. / PBTEC is an information technology consulting firm
http://www.lobsterdog.ca/,404 Not Found,
http://www.unopsys.com/,Unopsys Inc.,
https://zeropasswords.com/,PRIVii for a private life online,PRIVii for a private life online
http://hewgillsystems.ca/,Hewgill Systems Inc.,
http://www.airsenze.com/,Squarespace - Domain Not Claimed,
http://www.noiret-trg.com/,"
    Noiret-TRG Consulting
",Check out this GoDaddy hosted webpage! http://noiret-trg.com.
http://www.ts2.ca/,502 Bad Gateway,
http://www.therrients.com/,Coming Soon,
http://www.ethelodecisions.com/,404 Not Found,
https://www.akivo.ca/,Squarespace - Website Expired,
http://www.nwgroup.ca/,Web Hosting from HostPapa,
http://www.vcsol.com/,Virtual Cube Solutions,Montreal developper team of cloud solutions apps
http://www.jasperstudios.com/,API Reference,
http://www.oberosolutions.com/,404 Not Found,
http://www.genyc.com/,Welcome,
https://www.vizemedia.com/,Vize Media,"We design & build everything WordPress, from Web applications to e‑commerce platforms and enterprise social networks. We're Seriously Good at it."
http://www.automationforce.com/,ERROR: The request could not be satisfied,
http://www.borderlesssolutions.com/,Borderless Solutions,"Borderless Solutions provides software development, custom programming, database development, ecommerce, IT consulting, and internet-based database solutions to industry and government."
http://www.safeworker.ca/,DNS resolution error | www.safeworker.ca | Cloudflare,
http://www.sarguin.com/,sarguin.com,This domain name has been registered with Gandi.net. It is currently parked by the owner.
http://www.s4s.com/,Nothing Here,
http://www.goparkit.ca/,Microsoft Azure Web App - Error 404,
https://www.symbiosetechno.com/,Symbiose techno - services conseils web,"Symbiose techno est une entreprise de développement informatique : site web autogéré, services conseils, montage de formation. Leur mission : Allier technologie et côté humain. Ensemble, tous les projets sont possibles."
https://www.softbackup.net/, SoftBackup ,
https://www.c3sa.com/,Cyber Security Audit - C3SA CORP - Professional and Managed Services,
https://www.smbsol.com/,Symbiosys - Custom software development team,Responsive and single page web and mobile apps made with love in downtown Montreal.
https://www.agencesudo.ca/,Conception de site web sur mesure | Sudo Agence Web Québec,Sudo est une agence web située à Québec qui se spécialise dans le développement de solutions web sur mesure et de stratégies de marketing web
https://prattico.com/,Oups!,
https://isqsolutions.com/,ISQ Webhosting Inc.,
https://www.kst-web.com/,KST Web ,"Website design and management, custom Joomla components.
Remote Windows computer assistance"
http://www.clicknow.com/,Squarespace - Domain Not Claimed,
http://www.acutenet.com/,AcuteNet | Sharing Economy for the Healthcare Industry        ,
http://www.simplcom.ca/,SIMPLCOM INC. High Technology Solutions Company,
http://www.gogetapps.ca/," Mobile App Development Toronto, Game Development Canada",
http://www.degrootsolutions.ca/,De Groot Technical & Management Solutions Inc.,
http://propheo.com/,Propheo,"Propheo est votre partenaire TI en mobilité, développement d'applications mobiles et plateforme collaborative, conseil stratégique et design graphique"
http://www.cafewall.com/,Cafewall Solutions Inc – Where quality is no illusion.,
https://www.ubitrak.com/,"
   UbiTrak, Inc.
  ",
http://www.smartthought.ca/,Page Moved,
http://www.metix.ca/,Microsoft Azure Web App - Error 404,
http://www.aphextechnologies.com/,Coming Soon page,
http://www.shelfie.com/,Domain parked by Instra,
http://www.blisstech.com/,Bliss Technologies Home Page,
http://www.bitcoinsultants.ca/,SauceTel - Connecting People and Sauce,
https://jstconsulting.com/,HostGator Web Hosting Website Startup Guide,
